NameID,Name_ZhT.x,IDCH,Name_Py,OrgSup,Institution,Type_2,Type_1,Institution_Lev_2,Institution_Lev_3,Prov_Inst,City_Inst,Position,Level_Code,Level_New,StartPosYear,StartPosMonth,StartJob,Name_ZhT.y,Zi,BirthProv,BirthLoc,Gender,Age,Birthyear,Generation,年齡
N04512,丁穎,P25000,Ding Ying,農林部第一級附屬機關主官及幕僚長,廣東省推廣繁殖站,GOV-A,GOV,NA,NA,廣東,不明,主任,MM,Middle Management,1942,5,1942,丁穎,NA,廣東,茂名,M,56,1889,3,56
N05541,丁衍鏞,P25001,Ding Yanyong,僑務委員會,秘書處,GOV-C,GOV,NA,NA,江蘇,南京,專員,SCS,Senior Civil Service,1943,1,1943,丁衍鏞,NA,廣東,茂名,M,43,1902,4,43
N03651,于定,P25002,Yu Ding,交通部,交通部,GOV-C,GOV,NA,NA,江蘇,南京,薦任秘書,AOS,Administrative and Office Staff,1941,3,1941,于定,秋穆,江蘇,金壇,M,50,1895,3,50
N06608,于若愚,P25003,Wu Ruoyu,中央公務員懲戒委員會,中央公務員懲戒委員會,GOV-C,GOV,NA,NA,江蘇,南京,委員,MM,Middle Management,1933,7,1933,于若愚,哲士,湖南,臨澧,M,64,1881,2,64
N02188,仇預,P25004,Chou Yu,財政部,專賣事業司,GOV-C,GOV,NA,NA,江蘇,南京,專員,SCS,Senior Civil Service,1942,7,1942,仇預,立夫,江蘇,南京,M,59,1886,3,59
N05427,任翿和,P25005,Ren Daohe,蒙藏委員會,總務處,GOV-C,GOV,NA,NA,江蘇,南京,薦任待遇科員,AOS,Administrative and Office Staff,1939,9,1939,任翿和,秋濤,湖北,武昌,M,53,1892,3,53
N00035,但燾,P25006,Dan Dao,國民政府,國民政府國史館籌備委員會,GOV-C,GOV,NA,NA,江蘇,南京,總幹事,SCS,Senior Civil Service,1937,3,1937,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P25007,Dan Dao,國民政府,國民政府文官處,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1940,12,1940,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N06736,何基鴻,P25008,He Jihong,監察院,監察院,GOV-C,GOV,NA,NA,江蘇,南京,監察委員,AOS,Administrative and Office Staff,1942,4,1942,何基鴻,海秋,河北,藁縣,M,56,1889,3,56
N04944,何孝純,P25009,He Xiaochun,糧食部,管制司,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1943,3,1943,何孝純,NA,福建,閩侯,M,39,1906,4,39
N05791,何家濂,P25010,He Jialian,行政院水利委員會,工務處,GOV-C,GOV,NA,NA,江蘇,南京,技佐,PTS,Professional and Technical Staff,1942,7,1942,何家濂,NA,福建,閩侯,M,28,1917,6,28
N07364,何啟澧,P25011,He Qili,審計部第一級附屬機關主官及幕僚長,廣西審計處,GOV-A,GOV,NA,NA,廣西,桂林,處長,MM,Middle Management,1936,8,1936,何啟澧,蘭生,廣東,順德,M,55,1890,3,55
N06312,何昂,P25012,He Ang,立法院,軍事委員會,GOV-C,GOV,NA,NA,江蘇,南京,主任,MM,Middle Management,1936,7,1936,何昂,基甫,福建,閩侯,M,60,1885,2,60
N06460,何蔚,P25013,He Wei,最高法院,刑事第三庭,GOV-C,GOV,NA,NA,江蘇,南京,庭長,SCS,Senior Civil Service,1934,11,1934,何蔚,慎其,廣東,興寧,M,61,1884,2,61
N06391,何超,P25014,He Chao,司法院,統計處,GOV-C,GOV,NA,NA,江蘇,南京,統計長,PTS,Professional and Technical Staff,1942,5,1942,何超,枚如,福建,閩侯,M,56,1889,3,56
N04336,余先亮,P25015,Yu Xianliang,農林部,農村經濟司,GOV-C,GOV,NA,NA,江蘇,南京,專員,SCS,Senior Civil Service,1941,9,1941,余先亮,NA,四川,威遠,M,39,1906,4,39
N00369,余又蓀,P25016,Yu Yousun,國立中央研究,總辦事處,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1943,11,1943,余又蓀,NA,四川,涪陵,M,37,1908,5,37
N01070,余紫驤,P25017,Yu Zixiang,外交部,外交部亞東司,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1943,1,1943,余紫驤,NA,安徽,休寧,M,60,1885,2,60
N03595,余鍾志,P25018,Yu Zhongzhi,教育部,美術教育委員會,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1943,7,1943,余鍾志,NA,四川,涪陵,M,34,1911,5,34
N04364,侯朝海,P25019,Hou Zhaohai,農林部,漁牧司,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1940,7,1940,侯朝海,宗卿,江蘇,無錫,M,48,1897,4,48
N02949,傅銘九,P25020,Fu Mingjiu,經濟部,經濟部,GOV-C,GOV,NA,NA,江蘇,南京,技正,PTS,Professional and Technical Staff,1942,9,1942,傅銘九,NA,浙江,東陽,M,48,1897,4,48
N03592,傅隸樸,P25021,Fu Lipu,教育部,僑民教育設計委員會,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1943,1,1943,傅隸樸,守知,湖北,天門,M,40,1905,4,40
N01721,况厚豐,P25022,Kuang Houfeng,財政部,稅務署,GOV-C,GOV,NA,NA,江蘇,南京,視察,AOS,Administrative and Office Staff,1943,12,1943,况厚豐,NA,四川,達縣,M,34,1911,5,34
N01044,凌曼壽,P25023,Ling Manshou,外交部,外交部參事廳,GOV-C,GOV,NA,NA,江蘇,南京,領事,MM,Middle Management,1943,3,1943,凌曼壽,達劼,浙江,吳興,M,46,1899,4,46
N01686,劉允承,P25024,Liu Yuncheng,財政部,關務署,GOV-C,GOV,NA,NA,江蘇,南京,薦任科員,AOS,Administrative and Office Staff,1943,6,1943,劉允承,NA,江蘇,武進,M,44,1901,4,44
N01159,劉博崑,P25025,Liu Bokun,外交部,外交部情報司,GOV-C,GOV,NA,NA,江蘇,南京,專員,SCS,Senior Civil Service,1940,3,1940,劉博崑,NA,遼寧,安康,M,38,1907,5,38
N02418,劉培基,P25026,Liu Peiji,財政部,總務司,GOV-C,GOV,NA,NA,江蘇,南京,科員,AOS,Administrative and Office Staff,1943,3,1943,劉培基,魯丞,湖南,長沙,M,51,1894,3,51
N05237,劉子昂,P25027,Liu Ziang,司法行政部,刑事司,GOV-C,GOV,NA,NA,江蘇,南京,科員,AOS,Administrative and Office Staff,1942,9,1942,劉子昂,NA,江西,宜豐,M,46,1899,4,46
N06365,劉子芬,P25028,Liu Zifen,司法院,參事處,GOV-C,GOV,NA,NA,江蘇,南京,參事,EM,Executive Management,1932,1,1932,劉子芬,竹園,廣東,梅縣,M,58,1887,3,58
N02655,劉崐輝,P25029,Liu Kunhui,財政部,總務司,GOV-C,GOV,NA,NA,江蘇,南京,出差督導,AOS,Administrative and Office Staff,1942,7,1942,劉崐輝,NA,四川,江津,M,41,1904,4,41
N00367,劉次簫,P25030,Liu Cixiao,國立中央研究,總辦事處,GOV-C,GOV,NA,NA,江蘇,南京,主任,MM,Middle Management,1941,6,1941,劉次簫,NA,山東,安邱,M,55,1890,3,55
N06607,劉武,P25031,Liu Wu,中央公務員懲戒委員會,中央公務員懲戒委員會,GOV-C,GOV,NA,NA,江蘇,南京,委員,MM,Middle Management,1932,6,1932,劉武,政輿,湖南,湘潭,M,67,1878,2,67
N00085,劉毅夫,P25032,Liu Yifu,國民政府,國民政府文官處,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1942,8,1928,劉毅夫,NA,湖南,常德,M,52,1893,3,52
N00858,劉燧昌,P25033,Liu Suichang,內政部,內政部第四組,GOV-C,GOV,NA,NA,江蘇,南京,參事,EM,Executive Management,1942,1,1942,劉燧昌,剛吾,貴州,興義,M,53,1892,3,53
N04864,劉竹賢,P25034,Liu Zhuxian,糧食部,糧食部,GOV-C,GOV,NA,NA,江蘇,南京,視察,AOS,Administrative and Office Staff,1941,6,1941,劉竹賢,NA,四川,敍永,M,35,1910,5,35
N03520,劉開達,P25035,Liu Kaida,教育部,國民教育輔導研究委員會,GOV-C,GOV,NA,NA,江蘇,南京,組主任,MM,Middle Management,1942,6,1942,劉開達,善普,江蘇,寶應,M,38,1907,5,38
N04669,劉鳳儀,P25036,Liu Fengyi,社會部,社會福利司,GOV-C,GOV,NA,NA,江蘇,南京,科員,AOS,Administrative and Office Staff,1943,5,1943,劉鳳儀,NA,廣東,梅縣,M,32,1913,5,32
N01908,包際春,P25037,Bao Jichun,財政部,緝私署,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1941,8,1941,包際春,榮甫,浙江,春順,M,42,1903,4,42
N06182,史太璞,P25038,Shi Taipu,立法院,秘書室,GOV-C,GOV,NA,NA,江蘇,南京,簡任秘書,AOS,Administrative and Office Staff,1929,7,1929,史太璞,NA,安徽,桐城,M,52,1893,3,52
N06639,史尚寬,P25039,Shi Shangkuan,考試院,考試院,GOV-C,GOV,NA,NA,江蘇,南京,秘書長,SCS,Senior Civil Service,1942,1,1942,史尚寬,旦生,安徽,桐城,M,46,1898,4,46
N04704,史維煥,P25040,Shi Weihuan,社會部,勞動局,GOV-C,GOV,NA,NA,江蘇,南京,副局長,MM,Middle Management,1930,12,1930,史維煥,奎光,貴州,貴定,M,50,1895,3,50
N04704,史維煥,P25041,Shi Weihuan,立法院,立法院,GOV-C,GOV,NA,NA,江蘇,南京,立法委員,SEM,Senior Executive Management,1930,12,1930,史維煥,奎光,貴州,貴定,M,50,1895,3,50
N01872,吳力生,P25042,Wu Lisheng,財政部,緝私署,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1943,8,1943,吳力生,NA,浙江,松陽,M,40,1905,4,40
N00666,吳子雋,P25043,Wu Zijuan,行政院,行政院,GOV-C,GOV,NA,NA,江蘇,南京,簡任待遇秘書,AOS,Administrative and Office Staff,1928,11,1928,吳子雋,NA,湖南,湘潭,M,60,1885,2,60
N07008,吳建常,P25044,Wu Jianchang,監察院,監察院,GOV-C,GOV,NA,NA,江蘇,南京,監察委員,AOS,Administrative and Office Staff,1940,4,1940,吳建常,仲旂,陝西,涇陽,M,68,1877,2,68
N06740,吳思豫,P25045,Wu Siyu,考試院,法規委員會,GOV-C,GOV,NA,NA,江蘇,南京,委員,MM,Middle Management,1942,4,1942,吳思豫,NA,浙江,嘉興,M,59,1886,3,59
N01383,吳文叔,P25046,Wu Wenshu,財政部,國庫署,GOV-C,GOV,NA,NA,江蘇,南京,稽核,AOS,Administrative and Office Staff,1943,12,1943,吳文叔,NA,安徽,合肥,M,31,1914,5,31
N06644,吳浴文,P25047,Wu Yuwen,考試院,法規委員會,GOV-C,GOV,NA,NA,江蘇,南京,當然委員,MM,Middle Management,1942,2,1942,吳浴文,NA,安徽,桐城,M,38,1907,5,38
N06644,吳浴文,P25048,Wu Yuwen,考試院,考試院,GOV-C,GOV,NA,NA,江蘇,南京,秘書,AOS,Administrative and Office Staff,1942,2,1942,吳浴文,NA,安徽,桐城,M,38,1907,5,38
N01264,吳玉良,P25049,Wu Yuliang,外交部,機要室,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1944,2,1944,吳玉良,NA,河北,天津,M,31,1914,5,31
N07238,吳紹鑑,P25050,Wu Shaojian,審計部,總務處,GOV-C,GOV,NA,NA,江蘇,南京,科長,MM,Middle Management,1943,5,1943,吳紹鑑,NA,廣東,廉江,M,43,1902,4,43
N07125,吳金堂,P25051,Wu Jintang,審計部,審計部,GOV-C,GOV,NA,NA,江蘇,南京,稽查,AOS,Administrative and Office Staff,1944,2,1944,吳金堂,NA,安徽,歙縣,M,40,1905,4,40
N06170,呂復,P25052,Lü Fu,立法院,立法院,GOV-C,GOV,NA,NA,江蘇,南京,立法委員,SEM,Senior Executive Management,1942,9,1942,呂復,健秋,河北,北京,M,65,1880,2,65
